smiles,LogLD
CC(C)(OC1=CC=C(C=C1)C1CCCC2=C1C=CC=C2)C(O)=O,3.115663461469971
CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2,3.425258072482995
NC(=O)CC1=C2C=CC=CC2=CC=C1,2.8462925977560474
OC(=O)CC1=C2C=CC=CC2=CC=C1,2.949927140030572
N(c1ccc(Nc2ccc3ccccc3c2)cc1)c4ccc5ccccc5c4,3.418673086685422
NC(=S)NC1=C2C=CC=CC2=CC=C1,1.7660467365300916
NC1=CC2=C(C=CC=C2)C=C1,2.835852348510797
NC1=CC=C2C=CC=CC2=C1S(O)(=O)=O,3.801367266651332
[Ni++].CC([O-])=O.CC([O-])=O,3.1906058938321102
[Ni++].CCCCN(CCCC)C([S-])=S.CCCCN(CCCC)C([S-])=S,3.2828083533328503
NC(=O)C1=CC=CN=C1,3.1945240987227552
CN1CCC[C@H]1C1=CN=CC=C1,2.068480069793661
OC(=O)C1=CC=CN=C1,3.3153422498505125
COc1ccc(cc1N)[N+](=O)[O-],2.9697808264926535
NC(=O)NN=CC1=CC=C(O1)[N+]([O-])=O,3.141250183711805
OC1=C(C=C(C=C1)[As](O)(O)=O)[N+]([O-])=O,2.3000305311594613
Nc1ccc(N)c(c1)[N+](=O)[O-],3.2049503387438154
NC1=CC=C(C=C1)[N+]([O-])=O,2.6544666549787475
COC1=C(C=CC=C1)[N+]([O-])=O,3.055884088025198
[O-][N+](=O)C1=CC=CC=C1,2.754236334516319
CC[N+]([O-])=O,2.6767804221862455
[O-][N+](=O)C1=CC=C(O1)C=NN1CC(=O)NC1=O,3.290681287162921
CN(CCC1=CC=CC=C1)N=O,2.4729264722252955
CCN(CC(F)(F)F)N=O,2.9269246826453053
FC(F)(F)CN(CC(F)(F)F)N=O,2.84764556359867
CCCCN(CCCC)N=O,2.692171456210832
OCCN(CCO)N=O,3.6421835542226852
CCN(CC)N=O,2.5240200641310797
O=NN(C1=CC=CC=C1)C1=CC=CC=C1,3.4002501063155113
CCCN(CCC)N=O,2.605764537708086
CCN(C)N=O,2.209447988271579
O=NN1CCCCCCC1,2.555756985891161
O=NN1CCCCCC1,2.506504381159247
CN(N=O)C1=CC=CN=C1,2.0290088805065185
CN(N=O)C1=CC=NC=C1,1.9848816254939372
CN(N=O)C1=CC=CC=C1,2.22388604482064
O=NN1CCOCC1,3.133371220912038
O=NN1CCCCC1,2.4627730868618074
C[C@@H]1CC2=C(C(=O)O1)C(O)=C(C=C2Cl)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,3.133188500602245
COC1=CC2=C(NC(=N2)S(=O)CC2=C(C)C(OC)=C(C)C=N2)C=C1,3.3148151277738913
OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,3.5087144732560214
