,cas,smiles,LogLD
100,56-75-7,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,3.39794000867203
101,57-74-9,ClC1CC2C(C1Cl)[C@@]3(Cl)C(=C(Cl)[C@]2(Cl)C3(Cl)Cl)Cl,2.30102999566398
102,302-22-7,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,4.0
103,97-00-7,[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,2.80617997398388
104,563-47-3,CC(=C)CCl,2.92839585225671
105,88-73-3,[O-][N+](=O)C1=C(Cl)C=CC=C1,2.42813479402878
106,100-00-5,[O-][N+](=O)C1=CC=C(Cl)C=C1,2.6232492903979
107,95-74-9,CC1=C(Cl)C=C(N)C=C1,3.17609125905568
108,95-79-4,Cc1ccc(Cl)cc1N,2.66651798055488
109,65089-17-0,CC1=C(C)C(NC2=CC(Cl)=NC(SCC(=O)NCCO)=N2)=CC=C1,3.69897000433601
110,532-27-4,ClCC(=O)C1=CC=CC=C1,1.69897000433601
111,140-49-8,CC(=O)NC1=CC=C(C=C1)C(=O)CCl,3.3324384599156
112,106-47-8,NC1=CC=C(Cl)C=C1,2.47712125471966
113,2698-41-1,ClC1=CC=CC=C1C=C(C#N)C#N,2.25042000230889
114,108-90-7,ClC1=CC=CC=C1,3.04532297878665
115,999-81-5,[Cl-].C[N+](C)(C)CCCl,2.77815125038364
116,67-66-3,ClC(Cl)Cl,2.84198480459011
117,6959-48-4,Cl.ClCC1=CC=CN=C1,2.4996870826184
118,80-33-1,ClC1=CC=C(OS(=O)(=O)C2=CC=C(Cl)C=C2)C=C1,3.30102999566398
119,150-68-5,CN(C)C(=O)NC1=CC=C(Cl)C=C1,3.02242837118548
120,2227-13-6,ClC1=CC=C(SC2=CC(Cl)=C(Cl)C=C2Cl)C=C1,3.59769518592551
121,1976-06-02 00:00:00,[O-][N+](=O)C(Cl)(Cl)Cl,2.39794000867203
122,126-99-8,ClC(=C)C=C,2.65321251377534
123,590-21-6,CC=CCl,3.29003461136251
124,1897-45-6,ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,4.0
125,113-92-8,OC(=O)\\C=C/C([O-])=O.C[NH+](C)CCC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1,2.48572142648158
126,94-20-2,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,3.3324384599156
127,4553-89-3,[Na+].[Na+].OCC1=C(O)C(\\N=N\\C2=C3C=CC=CC3=C(C=C2)S([O-])(=O)=O)=C(O)C(=C1)\\N=N\\C1=C2C=CC=CC2=C(C=C1)S([O-])(=O)=O,3.30102999566398
128,67-48-1,[Cl-].C[N+](C)(C)CCO,3.53147891704225
129,87-29-6,NC1=C(C=CC=C1)C(=O)OCC=CC1=CC=CC=C1,3.69897000433601
130,77-92-9,OC(=O)CC(O)(CC(O)=O)C(O)=O,3.47712125471966
131,637-07-0,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,2.97312785359969
132,50-41-9,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,3.75966784468963
133,10026-24-1,O.O.O.O.O.O.O.[Co++].[O-]S([O-])(=O)=O,2.76492298464988
134,76-57-3,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,2.63042787502502
135,65765-07-3,CC(C)N1C(=O)N=C(C2=CC=CC(O)=C2)C2=C1C=C(C)C=C2,3.2027606873932
136,91-64-5,O=C1OC2=C(C=CC=C2)C=C1,2.4668676203541
137,120-71-8,COC1=CC=C(C)C=C1N,3.16136800223497
138,135-20-6,[NH4+].[O-]N(N=O)C1=CC=CC=C1,2.2988530764097
139,156-62-7,[Ca++].[N--]C#N,2.19865708695442
140,12663-46-6,CCC1NC(=O)C2C(Cl)C(Cl)CN2C(=O)C(CO)NC(=O)CC(NC(=O)C(CO)NC1=O)C1=CC=CC=C1,0.698970004336018
141,31698-14-3,OC[C@H]1O[C@@H]2[C@@H](OC3=NC(=N)C=CN23)[C@@H]1O,3.84509804001425
142,108-94-1,O=C1CCCCC1,3.1858649935459
143,95-33-0,C1CCC(CC1)NSC1=NC2=C(S1)C=CC=C2,3.72427586960078
144,4998-76-9,[Cl-].[NH3+]C1CCCCC1,2.85733249643126
145,50-18-0,ClCCN(CCCl)P1(=O)NCCCO1,2.0
146,427-51-0,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,3.69897000433601
147,4342-03-04 00:00:00,CN(C)N=NC1=C(NC=N1)C(N)=O,3.33183204443624
148,1596-84-5,CN(C)NC(=O)CCC(O)=O,3.92427928606188
149,80-08-0,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,3.0
150,53-19-0,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1,3.69897000433601
151,72-54-8,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,2.05307844348341
152,72-55-9,ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,2.94448267215016
153,50-29-3,ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,1.93951925261861
154,52918-63-5,CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2,0.971275848738105
155,1950-02-02 00:00:00,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,3.47712125471966
156,2303-16-4,CC(C)N(C(C)C)C(=O)SCC(Cl)=CCl,2.59659709562646
157,131-17-9,C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C,2.81690383937566
158,16338-97-9,C=CCN(CC=C)N=O,2.90308998699194
159,39156-41-7,COc1ccc(N)cc1N.OS(=O)(=O)O,3.60205999132796
160,137-09-7,Cl.Cl.NC1=CC=C(O)C(N)=C1,2.3802112417116
161,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,2.39619934709573
162,333-41-5,CCOP(=S)(OCC)OC1=NC(=NC(C)=C1)C(C)C,1.81954393554186
163,1996-12-08 00:00:00,ClCC(Br)CBr,2.23044892137827
164,10318-26-0,O[C@H](CBr)[C@H](O)[C@H](O)[C@@H](O)CBr,3.0
165,106-93-4,BrCCBr,2.03342375548695
166,1067-33-0,CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,1.5051499783199
167,23950-58-5,CC(C)(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C#C,3.52504480703684
168,3883-43-0,Cl[C@H]1OCCO[C@@H]1Cl,3.31058711489035
169,1717-00-6,CC(F)(Cl)Cl,3.69897000433601
170,87-56-9,OC(=O)C(\\Cl)=C(\\Cl)C=O,2.0
171,2164-09-02 00:00:00,CC(=C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,3.2552725051033
172,117-80-6,ClC1=C(Cl)C(=O)C2=C(C=CC=C2)C1=O,2.20411998265592
173,99-30-9,NC1=C(Cl)C=C(C=C1Cl)[N+]([O-])=O,3.3802112417116
174,609-20-1,NC1=CC(Cl)=C(N)C(Cl)=C1,2.84509804001425
175,79-43-6,OC(=O)C(Cl)Cl,3.45024910831936
176,95-50-1,ClC1=C(Cl)C=CC=C1,2.69897000433601
177,106-46-7,ClC1=CC=C(Cl)C=C1,2.69897000433601
178,612-83-9,Cl.Cl.NC1=CC=C(C=C1Cl)C1=CC(Cl)=C(N)C=C1,3.5820633629117
179,107-06-2,ClCCCl,2.82607480270082
180,120-83-2,Oc1ccc(Cl)cc1Cl,1.67209785793571
181,120-36-5,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,2.53655844257153
182,94-80-4,CCCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,2.77815125038364
183,1994-11-01 00:00:00,CC(C)OC(=O)COC1=C(Cl)C=C(Cl)C=C1,2.84509804001425
184,330-54-1,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,3.00732095292274
185,97-16-5,ClC1=CC(Cl)=C(OS(=O)(=O)C2=CC=CC=C2)C=C1,3.0
186,78-87-5,CC(Cl)CCl,3.28936595152003
187,62-73-7,COP(=O)(OC)OC=C(Cl)Cl,1.23044892137827
188,115-32-2,OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,2.75966784468963
189,81-21-0,C1C2OC2C2C3CC(C4OC34)C12,2.32221929473391
190,60-57-1,ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@H]45)[C@H]3[C@]1(Cl)C2(Cl)Cl,1.58319877396862
191,111-46-6,OCCOCCO,4.09916249292859
192,56-53-1,CC\\C(=C(\\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,3.47712125471966
193,105-55-5,CCNC(=S)NCC,2.4996870826184
194,101-90-6,C(OC1=CC(OCC2CO2)=CC=C1)C1CO1,3.40993312333129
195,3276-41-3,O=NN1CC=CCO1,2.95424250943932
196,119-84-6,O=C1CCC2=C(O1)C=CC=C2,3.16435285578443
197,94-58-6,CCCC1=CC2=C(OCO2)C=C1,3.3541084391474
198,75659-08-4,Cl.C[C@H](CCc1ccccc1)NC[C@H](O)c2ccc(O)c(c2)C(=O)N,3.01114736077579
199,60-51-5,CNC(=O)CSP(=S)(OC)OC,1.77815125038364
200,828-00-2,CC1CC(OC(C)=O)OC(C)O1,3.28555730900777
201,13265-60-6,COP(=S)(OC)SCCNC(C)=O,2.3424226808222
202,1960-11-07 00:00:00,CN(C)C1=CC=C(C=C1)N=NC1=CC=CC=C1,2.30102999566398
203,756-79-6,COP(C)(=O)OC,3.91434315711944
204,597-25-1,COP(=O)(OC)N1CCOCC1,3.77158748088125
205,120-61-6,COC(=O)C1=CC=C(C=C1)C(=O)OC,3.5051499783199
206,127-19-5,CN(C)C(C)=O,3.63346845557958
207,43033-72-3,Cl.CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,1.46239799789895
