,true,AFP,GAT,MPNN,DNN,RF,SVR
21,2.444020336,2.4403875,2.283813,2.580426807067286,2.2802138,2.3872689395647884,2.5262982533796965
22,3.752823103,3.7750735,3.7317874,3.7904243212699917,3.688501,3.5016694273294595,3.7864991415599807
23,2.826515356,2.532995,2.2988775,2.816429429323246,2.6101089,2.957190339013902,2.727093338810523
24,2.33293262,2.1032395,1.6769037,1.8014358854602706,2.2772708,1.9788466309492387,2.0248742333580525
25,2.686748254,2.6325705,2.5084732,2.4080481729056484,2.769591,2.6331967480296927,2.586540596203812
26,3.151563131,2.856299,2.5933478,2.9564487059221918,3.1049612,2.6844569563560325,2.2543464129456092
27,2.315505149,2.2860806,2.6495504,2.5863359607642384,2.2515504,2.4439928113997125,2.4155123695107323
28,1.765960178,2.0230613,2.197166,1.9026348098193253,1.7134762,1.8550284041023588,1.866315117078053
29,3.128920013,3.0463123,2.9720225,2.9115436100532692,2.9673142,3.126311263355227,3.1339145050390202
30,2.774590978,2.631336,2.250911,2.276781004442281,2.6457949,2.579502830136921,2.6742316687219474
31,1.318516557,1.5077298,1.915918,1.8853605938409483,1.2963588,1.5958663424193145,1.4188264410754439
32,3.452962319,3.3265257,2.764048,3.1744787717161014,3.3058002,3.09702256912349,3.352889265725119
33,2.168130477,1.9479896,1.6135488,1.7916798302361474,2.159078,1.9278666297554388,2.0677952634266275
34,2.747252606,2.7915921,2.211057,2.891283841549463,2.6184344,3.009697371019553,2.7000086724170833
35,1.720504866,1.5270427,2.4871516,1.7682904448158734,1.7439699,2.0413798936904453,2.1855009162609345
36,1.442398919,1.7699468,2.1328108,1.9816347521404674,1.4047513,1.7685616157906572,1.8409813949622758
37,2.832378699,2.722345,2.768845,2.7451257513528393,2.8368235,2.904810797463653,2.932746774986667
38,2.170394382,2.1043167,1.8205848,1.6955684578906598,2.1345525,1.97034240931879,2.070291459040403
39,1.853160834,1.941828,1.5440166,1.6784693605322867,1.8340441,1.8374081872091983,1.7531021215108695
40,2.639232777,2.7214005,2.9059694,2.5678644288263945,2.5201678,2.7486930395514433,2.6962744824429694
41,2.903536014,2.8117473,1.6707723,2.7339746123856234,2.7193387,2.438547583727496,1.9248455652926681
42,4.5399576,4.4135294,3.6087053,4.397100471501583,4.119914,4.35516523055556,4.152523481015098
43,2.183236664,2.3828382,2.1594062,2.1792147702721416,2.0806344,2.2399842338809277,2.2833841650642217
44,1.740211005,1.6816221,3.4638,2.0881320359308004,1.7347181,1.88810262764598,1.8399072207287914
45,2.166197037,2.1791737,2.480208,2.0524858919665077,2.1433666,2.092392932441342,2.065898221967377
46,2.711387067,2.3722491,2.7999225,2.8263497629896395,2.6903594,2.5755339116728972,2.611049466228031
47,1.289072732,1.58452,1.6989022,1.336451593647094,1.2898568,1.6604822088004692,1.7048008747998689
48,1.761506865,1.7190477,1.9836437,1.851642561392986,1.6978958,1.8453189552526004,1.7470825194060788
49,2.482315484,2.4633741,1.8652403,1.8524826489833273,2.5379424,2.183904398327068,2.202031700986963
50,1.280462462,1.2813631,1.3039545,1.4420317826907714,1.2218031,1.3305193949566905,1.380601994458058
51,2.740011244,2.2775903,2.8177016,2.0674750298994704,2.6548536,2.36886825961696,2.434212582029266
52,1.890500553,1.8944114,2.4626539,1.8445416165614505,1.8685694,2.0565286187056673,2.2579568693566108
53,3.062150642,2.9518502,2.042845,2.6069349037662835,2.9798336,2.8380096837512676,2.961946210360755
54,4.507969435,4.635616,4.3038917,4.600291067130462,4.490965,4.560732722577522,4.408022206119684
55,2.928656721,2.8671973,2.3991203,2.8600435490497245,2.8936393,2.4926493418118074,2.6650087229130497
56,2.317933911,2.242621,1.6356145,1.9717999616157535,2.2244291,2.1598414860881188,2.208542207287386
57,1.280393888,1.13596,1.5593561,1.5889439983919897,1.194833,1.5575564222655771,1.7297161962079037
58,2.642664529,2.4838479,2.459547,2.25221775083829,2.5359688,2.403868784281771,2.5425725966233927
59,2.140606235,2.2772171,2.1468108,2.0496099194986015,2.0611246,2.202480851442118,2.2406701600168457
60,2.433339725,2.3416173,2.1884353,2.0976947484680055,2.371432,2.1884158559819378,2.332961124018045
61,3.110342434,2.813726,2.7718844,2.80140593797679,3.160357,2.900471857536751,3.0106483781866826
62,2.006391373,1.9477416,2.391027,2.3507192383619886,1.9794854,2.0396099285547957,2.093102869078309
63,1.790064345,1.7029991,2.2363648,1.813743257684383,1.8176533,1.8739451523872375,1.8900153255964223
64,1.854995627,1.7261071,2.2865975,2.0939970695806975,1.8947378,2.1171869842616156,2.082050433524941
65,2.951070876,2.9095333,2.8490973,2.71454231078214,3.0442023,2.745213879215725,2.8511040474591995
66,3.373504153,3.571299,2.9904466,3.157606899146064,3.3831534,3.2531903761449064,2.647670874742339
67,1.920234235,2.1476164,2.3643558,2.0371008257062306,1.8558336,2.0620586232047553,2.020311243522038
68,3.904820065,3.7656078,2.8304493,3.341156349554064,3.9224033,3.5776540176795923,3.8044483588165527
69,1.24450137,1.3128631,1.2869858,1.4236600379928848,1.2211329,1.3306482860516764,1.3163552090059423
70,1.730608242,1.9561754,1.7172836,1.7657447835607882,1.6634654,1.8731296857532556,1.7343100470424377
71,2.686306384,2.4739218,2.3173318,2.332694641191616,2.606217,2.395781078540264,2.5866416067730023
72,3.0327853,3.1076581,3.0995545,3.2592588591455653,2.9162323,3.314703057469317,3.132850447962389
73,3.304335395,2.750959,3.1620219,3.1353769937992064,3.3183856,3.1593997634209106,3.204280089029202
74,2.569655669,2.2672186,1.8279811,2.3451954935686685,2.5053048,2.4050704837000274,2.469477978193044
75,3.422137419,3.3824072,3.2119513,3.54317934806823,3.6519022,3.6557724627688066,3.6908296455695337
76,1.766956437,1.8903385,2.199264,1.8927141619448817,1.7640404,1.8673015922051894,1.8673245525810531
