,TRUE,GAT,DNN
114,3.301029996,3.6653152,3.6857138
115,2.342422681,2.927073,2.5587516
116,3.544068044,3.6014283,3.2992203
117,3.146128036,2.8116362,1.9716737
118,4.160468531,3.8728588,3.6265826
119,3.698970004,3.482407,3.527336
120,2.653212514,2.9332986,2.527848
121,2.361727836,2.4432943,2.6455793
122,3.301029996,2.8932266,3.9408984
123,3.77815125,3.5069542,3.64087
124,4.170994702,3.5850918,3.6399715
125,2.698970004,3.5253928,3.1634262
126,3.397940009,3.0393953,2.9011524
127,3,3.5249162,3.3035436
128,2.804820679,2.983759,3.04785
129,4.049605613,3.6749454,3.8081527
130,3.431256518,3.8116388,3.5399756
131,3.562292864,3.5341055,3.7560139
132,4.157607853,3.6360555,3.7057502
133,4.19295753,3.7800088,3.9673026
134,2.826074803,2.835136,2.8476439
135,2.796529732,3.3056748,2.911175
136,3.86923172,3.515355,3.5730133
137,3.612783857,3.6027389,3.717564
138,2.140926842,2.434643,2.3409812
139,3.624282096,2.5370572,2.4788213
140,3,3.2597733,3.0265098
141,2.462397998,3.5009732,3.133526
142,3.698970004,3.2233124,3.237471
143,4.283301229,3.2309818,3.3348022
144,3.544068044,4.0402803,3.4079683
145,3.698970004,3.847101,4.0448093
146,3.301029996,3.268119,3.3056235
147,2.903089987,3.712086,3.6662965
148,2.826074803,3.3431828,3.5921178
149,3.477121255,3.643532,3.9428136
150,3.301029996,3.7596772,3.5964708
151,3.477121255,3.7515204,3.923612
152,3.810041996,3.5970962,3.3869092
153,4.049218023,3.6724653,3.7628477
154,3.698970004,3.6804595,3.5730133
155,3.954242509,3.811911,3.717564
156,3.698970004,4.133794,4.0453873
157,3.477121255,2.9576178,3.6431172
158,3.301029996,3.1029565,3.0492651
159,3.77815125,3.1408987,2.2226577
160,3.971554153,3.6672559,3.7619479
161,3.45484486,3.454318,2.772104
162,3.180555941,2.966029,2.9265134
163,2.770852012,3.108521,3.098512
164,3.086359831,3.442837,3.9469855
165,3.397940009,3.7132955,3.7813344
166,2.653212514,3.0056415,2.6697989
167,2.995635195,3.0841184,2.9292219
168,2.95568775,2.5437,2.8281457
169,2.161368002,2.886101,2.851618
170,3.698970004,3.0806923,3.0421455
171,2.903089987,2.794785,2.9405353
172,2.903089987,2.8492532,2.27589
173,3.698970004,2.8574076,2.7374256
174,1.707570176,2.3391764,1.6362416
175,3.301029996,3.390059,3.6682463
176,3.698970004,3.3614035,3.1591628
177,3.301029996,3.2378464,3.513581
178,3.748188027,3.485007,3.2398999
179,3.226599905,2.5573845,2.398938
180,0.425968732,2.1913517,1.2527856
181,2.385606274,3.2453568,3.032019
182,3.698970004,3.2448945,3.407476
183,3.698970004,3.6790385,3.12299
184,3.698970004,3.075539,2.5703723
185,3.290034611,2.712589,2.6583605
186,3.301029996,3.6349902,3.3272514
187,2.602059991,2.6272311,2.8456976
188,3.73479983,3.5406985,4.076652
189,4.701999475,3.8900902,4.084103
190,3.004321374,3.0497808,3.1971693
191,4.079181246,3.3283489,3.680066
192,3.477121255,3.2155776,3.1775622
193,3.698970004,3.5091503,3.091148
194,3.347720217,3.4061902,3.3971167
195,3.451581773,2.67188,2.3948576
196,2.743509765,2.0710752,2.3091958
197,3.301029996,3.6237457,2.9571702
198,3.079181246,3.2161708,3.0093415
199,3.698970004,3.242011,3.2329774
200,2.907411361,2.789541,2.5870962
201,3.462397998,3.1043508,3.082451
202,2.301029996,2.5937288,1.5419043
203,3.427128919,3.2698376,3.0048206
204,4.301029996,3.5888116,4.0759277
205,2.991226076,3.2341955,3.3266497
206,3.431363764,3.625241,3.981091
207,3.585404324,3.6591897,3.4232793
208,3.658583715,3.1545339,3.5429776
209,2.954242509,2.6518939,2.977248
210,3.698970004,3.8289824,3.0672975
211,3.012837225,3.2491512,3.0332172
212,3.230448921,3.3437064,2.9752567
213,3.609594409,3.4794896,1.906614
214,3.391993072,3.0881248,2.5014045
215,3.096910013,3.140965,2.7990434
216,3.511883361,2.8717747,2.4923577
217,4.012837225,3.4618328,3.1947067
218,3.698970004,3.0883324,3.7920423
219,1.806179974,2.7882755,2.7610893
220,3.903089987,3.1109257,3.4608042
221,3.748188027,2.868554,3.2206564
222,2.079181246,2.3943436,2.2237256
223,4.059570991,3.3821847,2.909208
224,3.193124598,3.2008488,3.404295
225,3.478999132,3.5767841,3.5691035
226,3.698970004,3.1684968,3.1563115
227,3.698970004,3.2025833,2.740474
